Program Name,Volunteer Count,Volunteer Hours,Departmental Savings,Date
Little Rock Marathon - Ugly Sweater Race,1,0,0,04/30/2020
MacArthur Commissioners,34,0,0,04/30/2020
MacPark Group,16,0,0,04/30/2020
Murray Dog Park,2,0,0,04/30/2020
Park Commissioners,11,0,0,04/30/2020
Park or Trail Clean-up,26,3,61.47,04/30/2020
Rebsamen Golf Course,11,0,0,04/30/2020
Southwest Community Center,17,0,0,04/30/2020
Stephens Community Center,15,0,0,04/30/2020
The Centre at University Park,1,0,0,04/30/2020
Therapeutic Recreation,1,0,0,04/30/2020
Volunteer Park Ranger,13,193.25,"3,959.6925",04/30/2020
West Central Community Center,0,0,0,04/30/2020
Western Hills Neighborhood Association,9,384,"7,868.16",04/30/2020
Active & Aging - Dunbar Community Center,4,46,942.54,02/29/2020
Active & Aging - East LR Community Center,10,45,922.05,02/29/2020
Active & Aging - SW Community Center,29,153,"3,134.97",02/29/2020
Active & Aging - Dunbar Community Center,4,25,512.25,01/31/2020
Active & Aging - East LR Community Center,10,44,901.56,01/31/2020
Active & Aging - SW Community Center,29,168,"3,442.32",01/31/2020
Adopt-A-Flowerbed - Allsopp,1,0,0,01/31/2020
Adopt-A-Flowerbed - Butler,1,0,0,01/31/2020
Adopt-A-Flowerbed - Contemplation Garden,1,0,0,01/31/2020
Adopt-A-Flowerbed - Curran Hall,1,0,0,01/31/2020
Adopt-A-Flowerbed - Historic AR Museum,1,24.5,502.005,01/31/2020
Adopt-A-Flowerbed - Jim Dailey Fitness and Aquatic Center,3,0,0,01/31/2020
Adopt-A-Flowerbed - WM Gateway,1,0,0,01/31/2020
Adopt-A-Park - Allsopp (Fairview Rd.),1,0,0,01/31/2020
Adopt-A-Park - Allsopp Moss Garden,1,0,0,01/31/2020
Adopt-A-Park - Allsopp North,1,0,0,01/31/2020
Adopt-A-Park - Allsopp Promenade,1,0,0,01/31/2020
Adopt-A-Park - Allsopp Walnut St.,1,0,0,01/31/2020
Adopt-A-Park - Butler,1,0,0,01/31/2020
Adopt-A-Park - Moorehart,1,0,0,01/31/2020
Adopt-A-Park - Reservoir,1,0,0,01/31/2020
Adopt-A-Park - Two Rivers,1,0,0,01/31/2020
Adopt-A-Park - Wakefield Park,1,0,0,01/31/2020
Adopt-A-Trail - Allsopp Park,1,0,0,01/31/2020
Adopt-A-Trail - Allsopp Park North,1,0,0,01/31/2020
Adopt-A-Trail - Rock Creek,1,0,0,01/31/2020
Department of Corrections - Wrightsville Unit,1,0,0,01/31/2020
Dunbar Community Center,9,0,0,01/31/2020
Dunbar Community Garden,1,0,0,01/31/2020
Eagle Scout,0,0,0,01/31/2020
First Tee Golf Course,14,175,"3,585.75",01/31/2020
Jim Dailey Fitness and Aquatic Center,1,0,0,01/31/2020
Keep Little Rock Beautiful,1,0,0,01/31/2020
Landscape Division,2,0,0,01/31/2020
Little Rock Marathon,1,817,"16,740.33",01/31/2020
Little Rock Marathon - Creep and Crawl,1,0,0,01/31/2020
Little Rock Marathon - Ugly Sweater Race,1,0,0,01/31/2020
MacArthur Commissioners,34,79,"1,618.71",01/31/2020
MacPark Group,16,19.25,394.4325,01/31/2020
Murray Dog Park,2,40,819.6,01/31/2020
Park Commissioners,11,20,409.8,01/31/2020
Park or Trail Clean-up,27,87,"1,782.63",01/31/2020
Rebsamen Golf Course,11,102.25,"2,095.1025",01/31/2020
Southwest Community Center,17,0,0,01/31/2020
Stephens Community Center,15,30,614.7,01/31/2020
The Centre at University Park,1,20,409.8,01/31/2020
Therapeutic Recreation,1,0,0,01/31/2020
Volunteer Park Ranger,13,89.75,"1,838.9775",01/31/2020
West Central Community Center,0,0,0,01/31/2020
Western Hills Neighborhood Association,9,4,81.96,01/31/2020
Adopt-A-Flowerbed - Allsopp,1,0,0,02/29/2020
Adopt-A-Flowerbed - Butler,1,0,0,02/29/2020
Adopt-A-Flowerbed - Contemplation Garden,1,3,61.47,02/29/2020
Adopt-A-Flowerbed - Curran Hall,1,23,471.27,02/29/2020
Adopt-A-Flowerbed - Historic AR Museum,1,92.5,"1,895.325",02/29/2020
Adopt-A-Flowerbed - Jim Dailey Fitness and Aquatic Center,3,40,819.6,02/29/2020
Adopt-A-Flowerbed - WM Gateway,1,10.75,220.2675,02/29/2020
Adopt-A-Park - Allsopp (Fairview Rd.),1,0,0,02/29/2020
Adopt-A-Park - Allsopp Moss Garden,1,0,0,02/29/2020
Adopt-A-Park - Allsopp North,1,0,0,02/29/2020
Adopt-A-Park - Allsopp Promenade,1,0,0,02/29/2020
Adopt-A-Park - Allsopp Walnut St.,1,0,0,02/29/2020
Adopt-A-Park - Butler,1,0,0,02/29/2020
Adopt-A-Park - Moorehart,1,0,0,02/29/2020
Adopt-A-Park - Reservoir,1,0,0,02/29/2020
Adopt-A-Park - Two Rivers,1,0,0,02/29/2020
Adopt-A-Park - Wakefield Park,1,0,0,02/29/2020
Adopt-A-Trail - Allsopp Park,1,0,0,02/29/2020
Adopt-A-Trail - Allsopp Park North,1,0,0,02/29/2020
Adopt-A-Trail - Rock Creek,1,0,0,02/29/2020
Department of Corrections - Wrightsville Unit,1,0,0,02/29/2020
Dunbar Community Center,9,0,0,02/29/2020
Dunbar Community Garden,1,91.5,"1,874.835",02/29/2020
Eagle Scout,0,0,0,02/29/2020
First Tee Golf Course,14,85,"1,741.65",02/29/2020
Jim Dailey Fitness and Aquatic Center,1,0,0,02/29/2020
Keep Little Rock Beautiful,1,0,0,02/29/2020
Landscape Division,2,38,778.62,02/29/2020
Little Rock Marathon,1,980,"20,080.2",02/29/2020
Little Rock Marathon - Creep and Crawl,1,0,0,02/29/2020
Little Rock Marathon - Ugly Sweater Race,1,0,0,02/29/2020
MacArthur Commissioners,34,30,614.7,02/29/2020
MacPark Group,16,52,"1,065.48",02/29/2020
Murray Dog Park,2,40,819.6,02/29/2020
Park Commissioners,11,14,286.86,02/29/2020
Park or Trail Clean-up,27,0,0,02/29/2020
Rebsamen Golf Course,11,97.75,"2,002.8975",02/29/2020
Southwest Community Center,17,0,0,02/29/2020
Stephens Community Center,15,38,778.62,02/29/2020
The Centre at University Park,1,15,307.35,02/29/2020
Therapeutic Recreation,1,4,81.96,02/29/2020
Volunteer Park Ranger,13,57.75,"1,183.2975",02/29/2020
West Central Community Center,0,0,0,02/29/2020
Western Hills Neighborhood Association,9,0,0,02/29/2020
Active & Aging - Dunbar Community Center,4,0,0,12/31/2020
Active & Aging - East LR Community Center,10,0,0,12/31/2020
Active & Aging - SW Community Center,29,0,0,12/31/2020
Adopt-A-Flowerbed - Allsopp,1,3.25,66.5925,12/31/2020
Adopt-A-Flowerbed - Butler,1,25,512.25,12/31/2020
Adopt-A-Flowerbed - Contemplation Garden,1,5.25,107.5725,12/31/2020
Adopt-A-Flowerbed - Curran Hall,1,76.5,"1,567.485",12/31/2020
Adopt-A-Flowerbed - Historic AR Museum,1,64.75,"1,326.7275",12/31/2020
Adopt-A-Flowerbed - Jim Dailey Fitness and Aquatic Center,3,0,0,12/31/2020
Adopt-A-Flowerbed - Lynn Wilson Memorial,1,0,0,12/31/2020
Adopt-A-Flowerbed - Rebsamen Tennis Center,1,0,0,12/31/2020
Adopt-A-Flowerbed - WM Gateway,1,9,184.41,12/31/2020
Adopt-A-Flowerbed- Rose Creek Plaza,1,0,0,12/31/2020
Adopt-A-Park - Allsopp,1,0,0,12/31/2020
Adopt-A-Park - Allsopp (Fairview Rd.),1,0,0,12/31/2020
Adopt-A-Park - Allsopp (Walnut St.),1,0,0,12/31/2020
Adopt-A-Park - Allsopp Moss Garden,1,0,0,12/31/2020
Adopt-A-Park - Allsopp North,1,0,0,12/31/2020
Adopt-A-Park - Allsopp Promenade,1,1,20.49,12/31/2020
Adopt-A-Park - Benny Craig,1,0,0,12/31/2020
Adopt-A-Park - Butler,1,16,327.84,12/31/2020
Adopt-A-Park - Kanis,1,0,0,12/31/2020
Adopt-A-Park - Knoop,3,10,204.9,12/31/2020
Adopt-A-Park - Moorehart,1,0,0,12/31/2020
Adopt-A-Park - Reservoir,1,0,0,12/31/2020
Adopt-A-Park - Two Rivers,1,1,20.49,12/31/2020
Adopt-A-Park - Wakefield Park,1,0,0,12/31/2020
Adopt-A-Park - Western Hills,9,56,"1,147.44",12/31/2020
Adopt-A-Park- Boyle,1,0,0,12/31/2020
Adopt-A-Park-Prospect Terrace,1,5.5,112.695,12/31/2020
Adopt-A-Trail - Allsopp Park,1,6,122.94,12/31/2020
Adopt-A-Trail - Allsopp Park North,1,50,"1,024.5",12/31/2020
Adopt-A-Trail - Conner park,1,0,0,12/31/2020
Adopt-A-Trail - Reservoir,1,0,0,12/31/2020
Adopt-A-Trail - River Trail,1,0,0,12/31/2020
Adopt-A-Trail - Rock Creek,2,0,0,12/31/2020
Department of Corrections - Wrightsville Unit,1,0,0,12/31/2020
Dunbar Community Center,9,0,0,12/31/2020
Dunbar Community Garden,1,0,0,12/31/2020
Eagle Scout,0,0,0,12/31/2020
First Tee Golf Course,14,317,"6,495.33",12/31/2020
Jim Dailey Fitness and Aquatic Center,1,0,0,12/31/2020
Landscape Division,2,0,0,12/31/2020
Little Rock Marathon,1,154,"3,155.46",12/31/2020
Little Rock Marathon - Creep and Crawl,1,0,0,12/31/2020
Little Rock Marathon - Ugly Sweater Race,1,141,"2,889.09",12/31/2020
MacArthur Commissioners,35,6,122.94,12/31/2020
MacPark Group,18,27,553.23,12/31/2020
Murray Dog Park,2,0,0,12/31/2020
National Public Lands Day at Morehart Park,20,0,0,12/31/2020
Park Commissioners,11,0,0,12/31/2020
Park or Trail Clean-up,31,61,"1,249.89",12/31/2020
Rebsamen Golf Course,12,141,"2,889.09",12/31/2020
Southwest Community Center,17,0,0,12/31/2020
Stephens Community Center,15,0,0,12/31/2020
The Centre at University Park,1,0,0,12/31/2020
Therapeutic Recreation,1,0,0,12/31/2020
Volunteer Park Ranger,16,130.25,"2,668.8225",12/31/2020
West Central Community Center,0,0,0,12/31/2020
Active & Aging - Dunbar Community Center,4,0,0,02/28/2021
Active & Aging - East LR Community Center,10,0,0,02/28/2021
Active & Aging - SW Community Center,29,0,0,02/28/2021
Adopt-A-Flowerbed - Allsopp,1,0,0,02/28/2021
Adopt-A-Flowerbed - Butler,1,0,0,02/28/2021
Adopt-A-Flowerbed - Contemplation Garden,1,0,0,02/28/2021
Adopt-A-Flowerbed - Curran Hall,1,9,194.13,02/28/2021
Adopt-A-Flowerbed - Historic AR Museum,1,17.5,377.475,02/28/2021
Adopt-A-Flowerbed - Jim Dailey Fitness and Aquatic Center,3,0,0,02/28/2021
Adopt-A-Flowerbed - Lynn Wilson Memorial,1,0,0,02/28/2021
Adopt-A-Flowerbed - Rebsamen Tennis Center,1,0,0,02/28/2021
Adopt-A-Flowerbed - WM Gateway,1,1.5,32.355,02/28/2021
Adopt-A-Flowerbed- Rose Creek Plaza,1,0,0,02/28/2021
Adopt-A-Park - Allsopp,1,0,0,02/28/2021
Adopt-A-Park - Allsopp (Fairview Rd.),1,0,0,02/28/2021
Adopt-A-Park - Allsopp (Walnut St.),1,0,0,02/28/2021
Adopt-A-Park - Allsopp Moss Garden,1,0,0,02/28/2021
Adopt-A-Park - Allsopp North,1,0,0,02/28/2021
Adopt-A-Park - Allsopp Promenade,1,0,0,02/28/2021
Adopt-A-Park - Benny Craig,1,0,0,02/28/2021
Adopt-A-Park - Butler,1,0,0,02/28/2021
Adopt-A-Park - Kanis,1,0,0,02/28/2021
Adopt-A-Park - Knoop,2,0,0,02/28/2021
Adopt-A-Park - Moorehart,1,0,0,02/28/2021
Adopt-A-Park - Reservoir,1,4,86.28,02/28/2021
Adopt-A-Park - Two Rivers,1,1,21.57,02/28/2021
Adopt-A-Park - Wakefield Park,1,0,0,02/28/2021
Adopt-A-Park - Western Hills,8,440,"9,490.8",02/28/2021
Adopt-A-Park- Boyle,1,0,0,02/28/2021
Adopt-A-Park-Prospect Terrace,1,0,0,02/28/2021
Adopt-A-Trail - Allsopp Park,1,0,0,02/28/2021
Adopt-A-Trail - Allsopp Park North,1,6,129.42,02/28/2021
Adopt-A-Trail - Conner park,1,0,0,02/28/2021
Adopt-A-Trail - Reservoir,1,0,0,02/28/2021
Adopt-A-Trail - River Trail,2,0,0,02/28/2021
Adopt-A-Trail - Rock Creek,2,12,258.84,02/28/2021
Department of Corrections - Wrightsville Unit,1,0,0,02/28/2021
Dunbar Community Center,9,0,0,02/28/2021
Dunbar Community Garden,1,0,0,02/28/2021
Eagle Scout,0,0,0,02/28/2021
First Tee Golf Course,14,78,"1,682.46",02/28/2021
Jim Dailey Fitness and Aquatic Center,1,0,0,02/28/2021
Landscape Division,2,0,0,02/28/2021
Little Rock Marathon,1,137,"2,955.09",02/28/2021
Little Rock Marathon - Creep and Crawl,1,0,0,02/28/2021
Little Rock Marathon - Ugly Sweater Race,1,0,0,02/28/2021
MacArthur Commissioners,35,0,0,02/28/2021
MacArthur Museum of Arkansas Military History,0,0,0,02/28/2021
MacPark Group,18,0,0,02/28/2021
Murray Dog Park,2,0,0,02/28/2021
National Public Lands Day at Morehart Park,20,0,0,02/28/2021
Park Commissioners,11,0,0,02/28/2021
Park or Trail Clean-up,32,8,172.56,02/28/2021
Rebsamen Golf Course,12,110,"2,372.7",02/28/2021
Southwest Community Center,17,0,0,02/28/2021
Stephens Community Center,15,0,0,02/28/2021
The Centre at University Park,1,0,0,02/28/2021
Therapeutic Recreation,1,0,0,02/28/2021
Volunteer Park Ranger,18,164.25,"3,542.8725",02/28/2021
West Central Community Center,0,0,0,02/28/2021
Active & Aging - Dunbar Community Center,4,0,0,02/28/2021
Active & Aging - East LR Community Center,10,0,0,02/28/2021
Active & Aging - SW Community Center,29,0,0,02/28/2021
Adopt-A-Flowerbed - Allsopp,1,0,0,02/28/2021
Adopt-A-Flowerbed - Butler,1,0,0,02/28/2021
Adopt-A-Flowerbed - Contemplation Garden,1,0,0,02/28/2021
Adopt-A-Flowerbed - Curran Hall,1,9,194.13,02/28/2021
Adopt-A-Flowerbed - Historic AR Museum,1,17.5,377.475,02/28/2021
Adopt-A-Flowerbed - Jim Dailey Fitness and Aquatic Center,3,0,0,02/28/2021
Adopt-A-Flowerbed - Lynn Wilson Memorial,1,0,0,02/28/2021
Adopt-A-Flowerbed - Rebsamen Tennis Center,1,0,0,02/28/2021
Adopt-A-Flowerbed - WM Gateway,1,1.5,32.355,02/28/2021
Adopt-A-Flowerbed- Rose Creek Plaza,1,0,0,02/28/2021
Adopt-A-Park - Allsopp,1,0,0,02/28/2021
Adopt-A-Park - Allsopp (Fairview Rd.),1,0,0,02/28/2021
Adopt-A-Park - Allsopp (Walnut St.),1,0,0,02/28/2021
Adopt-A-Park - Allsopp Moss Garden,1,0,0,02/28/2021
Adopt-A-Park - Allsopp North,1,0,0,02/28/2021
Adopt-A-Park - Allsopp Promenade,1,0,0,02/28/2021
Adopt-A-Park - Benny Craig,1,0,0,02/28/2021
Adopt-A-Park - Butler,1,0,0,02/28/2021
Adopt-A-Park - Kanis,1,0,0,02/28/2021
Adopt-A-Park - Knoop,2,0,0,02/28/2021
Adopt-A-Park - Moorehart,1,0,0,02/28/2021
Adopt-A-Park - Reservoir,1,4,86.28,02/28/2021
Adopt-A-Park - Two Rivers,1,1,21.57,02/28/2021
Adopt-A-Park - Wakefield Park,1,0,0,02/28/2021
Adopt-A-Park - Western Hills,8,440,"9,490.8",02/28/2021
Adopt-A-Park- Boyle,1,0,0,02/28/2021
Adopt-A-Park-Prospect Terrace,1,0,0,02/28/2021
Adopt-A-Trail - Allsopp Park,1,0,0,02/28/2021
Adopt-A-Trail - Allsopp Park North,1,6,129.42,02/28/2021
Adopt-A-Trail - Conner park,1,0,0,02/28/2021
Adopt-A-Trail - Reservoir,1,0,0,02/28/2021
Adopt-A-Trail - River Trail,2,0,0,02/28/2021
Adopt-A-Trail - Rock Creek,2,12,258.84,02/28/2021
Department of Corrections - Wrightsville Unit,1,0,0,02/28/2021
Dunbar Community Center,9,0,0,02/28/2021
Dunbar Community Garden,1,0,0,02/28/2021
Eagle Scout,0,0,0,02/28/2021
First Tee Golf Course,14,78,"1,682.46",02/28/2021
Jim Dailey Fitness and Aquatic Center,1,0,0,02/28/2021
Landscape Division,2,0,0,02/28/2021
Little Rock Marathon,1,137,"2,955.09",02/28/2021
Little Rock Marathon - Creep and Crawl,1,0,0,02/28/2021
Little Rock Marathon - Ugly Sweater Race,1,0,0,02/28/2021
MacArthur Commissioners,35,0,0,02/28/2021
MacArthur Museum of Arkansas Military History,0,0,0,02/28/2021
MacPark Group,18,0,0,02/28/2021
Murray Dog Park,2,0,0,02/28/2021
National Public Lands Day at Morehart Park,20,0,0,02/28/2021
Park Commissioners,11,0,0,02/28/2021
Park or Trail Clean-up,32,8,172.56,02/28/2021
Rebsamen Golf Course,12,110,"2,372.7",02/28/2021
Southwest Community Center,17,0,0,02/28/2021
Stephens Community Center,15,0,0,02/28/2021
The Centre at University Park,1,0,0,02/28/2021
Therapeutic Recreation,1,0,0,02/28/2021
Volunteer Park Ranger,18,164.25,"3,542.8725",02/28/2021
West Central Community Center,0,0,0,02/28/2021
